DATE,M1SL,M2SL
1987-04-01,743.9,2767.7
1987-05-01,745.8,2772.9
1987-06-01,743.2,2774.6
1987-07-01,743.0,2779.0
1987-08-01,744.9,2788.2
1987-09-01,747.6,2799.5
1987-10-01,756.2,2814.8
1987-11-01,753.2,2818.9
1987-12-01,750.2,2826.4
1988-01-01,756.2,2847.4
1988-02-01,757.7,2870.4
1988-03-01,761.8,2890.7
1988-04-01,768.1,2910.7
1988-05-01,771.7,2926.0
1988-06-01,778.3,2938.4
1988-07-01,781.4,2947.2
1988-08-01,783.3,2952.0
1988-09-01,783.7,2956.9
1988-10-01,783.3,2965.3
1988-11-01,784.9,2980.2
1988-12-01,786.7,2988.2
1989-01-01,785.7,2991.7
1989-02-01,783.8,2992.2
1989-03-01,783.0,2999.7
1989-04-01,779.2,3006.0
1989-05-01,775.0,3011.6
1989-06-01,773.5,3027.9
1989-07-01,777.8,3052.4
1989-08-01,779.4,3074.4
1989-09-01,781.0,3092.5
1989-10-01,786.6,3114.1
1989-11-01,787.9,3133.3
1989-12-01,792.9,3152.5
1990-01-01,795.4,3166.8
1990-02-01,798.1,3179.2
1990-03-01,801.5,3190.1
1990-04-01,806.1,3201.6
1990-05-01,804.2,3200.6
1990-06-01,808.8,3213.7
1990-07-01,810.1,3224.5
1990-08-01,815.7,3242.0
1990-09-01,820.2,3254.6
1990-10-01,819.9,3259.3
1990-11-01,822.1,3262.6
1990-12-01,824.7,3271.8
1991-01-01,827.2,3287.7
1991-02-01,832.6,3304.5
1991-03-01,838.7,3321.9
1991-04-01,843.1,3332.4
1991-05-01,848.8,3343.0
1991-06-01,856.7,3351.9
1991-07-01,861.6,3356.1
1991-08-01,866.8,3355.0
1991-09-01,869.7,3354.9
1991-10-01,878.0,3360.1
1991-11-01,887.6,3365.5
1991-12-01,897.0,3372.2
1992-01-01,910.4,3381.2
1992-02-01,925.2,3400.0
1992-03-01,936.7,3403.9
1992-04-01,943.8,3399.7
1992-05-01,950.6,3398.6
1992-06-01,954.3,3393.4
1992-07-01,963.3,3393.9
1992-08-01,973.7,3398.8
1992-09-01,988.0,3410.3
1992-10-01,1003.7,3423.8
1992-11-01,1015.7,3426.5
1992-12-01,1024.9,3424.7
1993-01-01,1030.4,3419.1
1993-02-01,1033.5,3414.5
1993-03-01,1038.4,3411.7
1993-04-01,1047.6,3411.3
1993-05-01,1065.9,3436.9
1993-06-01,1075.1,3442.4
1993-07-01,1084.6,3442.0
1993-08-01,1094.2,3445.7
1993-09-01,1104.2,3452.2
1993-10-01,1113.1,3456.7
1993-11-01,1124.1,3470.1
1993-12-01,1129.6,3474.5
1994-01-01,1131.6,3474.9
1994-02-01,1136.3,3475.7
1994-03-01,1140.1,3480.1
1994-04-01,1141.1,3481.3
1994-05-01,1143.3,3490.8
1994-06-01,1145.2,3479.5
1994-07-01,1150.7,3488.2
1994-08-01,1150.6,3485.7
1994-09-01,1151.9,3486.1
1994-10-01,1150.2,3484.3
1994-11-01,1150.9,3487.2
1994-12-01,1150.7,3486.4
1995-01-01,1151.4,3492.4
1995-02-01,1147.4,3489.9
1995-03-01,1146.7,3491.1
1995-04-01,1149.3,3499.2
1995-05-01,1145.3,3524.2
1995-06-01,1144.2,3548.9
1995-07-01,1145.5,3567.4
1995-08-01,1145.4,3589.0
1995-09-01,1142.0,3602.1
1995-10-01,1137.3,3613.4
1995-11-01,1134.1,3619.9
1995-12-01,1127.5,3629.5
1996-01-01,1123.5,3647.9
1996-02-01,1118.5,3661.8
1996-03-01,1122.6,3686.9
1996-04-01,1124.8,3697.7
1996-05-01,1116.5,3709.6
1996-06-01,1115.2,3722.5
1996-07-01,1112.4,3737.1
1996-08-01,1101.6,3744.0
1996-09-01,1096.2,3753.4
1996-10-01,1085.7,3772.8
1996-11-01,1083.5,3795.1
1996-12-01,1081.3,3818.6
1997-01-01,1081.2,3834.6
1997-02-01,1078.8,3846.3
1997-03-01,1072.5,3861.2
1997-04-01,1063.9,3877.0
1997-05-01,1063.8,3889.2
1997-06-01,1066.1,3906.0
1997-07-01,1065.5,3923.9
1997-08-01,1075.3,3957.4
1997-09-01,1066.9,3973.1
1997-10-01,1065.6,3992.3
1997-11-01,1070.9,4014.8
1997-12-01,1072.3,4032.9
1998-01-01,1074.0,4056.2
