DATE,PCEPI_NBD19820101
1984-02-01,109.19124
1984-03-01,109.55122
1984-04-01,109.96724
1984-05-01,110.10519
1984-06-01,110.30135
1984-07-01,110.69581
1984-08-01,111.03639
1984-09-01,111.18727
1984-10-01,111.45025
1984-11-01,111.60545
1984-12-01,111.92016
1985-01-01,112.48060
1985-02-01,113.00224
1985-03-01,113.44413
1985-04-01,113.61011
1985-05-01,113.87955
1985-06-01,114.18779
1985-07-01,114.46801
1985-08-01,114.84739
1985-09-01,115.04139
1985-10-01,115.23323
1985-11-01,115.56734
1985-12-01,115.95749
1986-01-01,116.48991
1986-02-01,116.48991
1986-03-01,116.23556
1986-04-01,115.99629
1986-05-01,116.20969
1986-06-01,116.64080
1986-07-01,116.67098
1986-08-01,116.81755
1986-09-01,117.19909
1986-10-01,117.41033
1986-11-01,117.61942
1986-12-01,117.77893
1987-01-01,118.32859
1987-02-01,118.74461
1987-03-01,119.05717
1987-04-01,119.50121
1987-05-01,119.80514
1987-06-01,120.25996
1987-07-01,120.53587
1987-08-01,121.01224
1987-09-01,121.41964
1987-10-01,121.80548
1987-11-01,122.03828
1987-12-01,122.26246
1988-01-01,122.73883
1988-02-01,122.91774
1988-03-01,123.34239
1988-04-01,123.94163
1988-05-01,124.30160
1988-06-01,124.83187
1988-07-01,125.43758
1988-08-01,125.81048
1988-09-01,126.42266
1988-10-01,126.83437
1988-11-01,127.12968
1988-12-01,127.52630
1989-01-01,128.17943
1989-02-01,128.60623
1989-03-01,129.08476
1989-04-01,129.94482
1989-05-01,130.41904
1989-06-01,130.70573
1989-07-01,131.01828
1989-08-01,131.03337
1989-09-01,131.32437
1989-10-01,131.83739
1989-11-01,132.12623
1989-12-01,132.50776
1990-01-01,133.51224
1990-02-01,134.10071
1990-03-01,134.60510
1990-04-01,134.88748
1990-05-01,135.19141
1990-06-01,135.78850
1990-07-01,136.12476
1990-08-01,137.03009
1990-09-01,137.87075
1990-10-01,138.65968
1990-11-01,138.83644
1990-12-01,138.96577
1991-01-01,139.49388
1991-02-01,139.56501
1991-03-01,139.59303
1991-04-01,139.84739
1991-05-01,140.42723
1991-06-01,140.66434
1991-07-01,140.88636
1991-08-01,141.21185
1991-09-01,141.69900
1991-10-01,141.96413
1991-11-01,142.27669
1991-12-01,142.63235
1992-01-01,142.82635
1992-02-01,143.18848
1992-03-01,143.53552
1992-04-01,143.92352
1992-05-01,144.11321
1992-06-01,144.36972
1992-07-01,144.84609
1992-08-01,145.04009
1992-09-01,145.27720
1992-10-01,145.79022
1992-11-01,146.07691
1992-12-01,146.33126
1993-01-01,146.68908
1993-02-01,146.90895
1993-03-01,147.21073
1993-04-01,147.60088
1993-05-01,148.05785
1993-06-01,148.10959
1993-07-01,148.34454
1993-08-01,148.59890
1993-09-01,148.75410
1993-10-01,149.22185
1993-11-01,149.50422
1993-12-01,149.53871
1994-01-01,149.58829
1994-02-01,149.93533
1994-03-01,150.34920
1994-04-01,150.52595
1994-05-01,150.74366
1994-06-01,151.11226
1994-07-01,151.58864
1994-08-01,151.93568
1994-09-01,152.10597
1994-10-01,152.36248
1994-11-01,152.65347
1994-12-01,152.75263
1995-01-01,153.06087
1995-02-01,153.33247
1995-03-01,153.61485
1995-04-01,154.02009
1995-05-01,154.25720
1995-06-01,154.40809
1995-07-01,154.59993
1995-08-01,154.93404
1995-09-01,155.03966
1995-10-01,155.44275
1995-11-01,155.43844
1995-12-01,155.73590
1996-01-01,156.08295
1996-02-01,156.32868
1996-03-01,156.80074
1996-04-01,157.27065
1996-05-01,157.54225
1996-06-01,157.54009
1996-07-01,157.87420
1996-08-01,158.02293
1996-09-01,158.46913
1996-10-01,158.94982
1996-11-01,159.23220
1996-12-01,159.41542
1997-01-01,159.62235
1997-02-01,159.95861
1997-03-01,160.12675
1997-04-01,160.28410
1997-05-01,160.20866
1997-06-01,160.41559
1997-07-01,160.51043
1997-08-01,160.63977
1997-09-01,161.02776
1997-10-01,161.23685
1997-11-01,161.24332
1997-12-01,161.20883
1998-01-01,161.28858
1998-02-01,161.20667
1998-03-01,161.23254
1998-04-01,161.43085
1998-05-01,161.65287
1998-06-01,161.51707
1998-07-01,161.91585
1998-08-01,162.14002
1998-09-01,162.04518
1998-10-01,162.40084
1998-11-01,162.40947
1998-12-01,162.57113
1999-01-01,162.80178
1999-02-01,162.70909
1999-03-01,162.83195
1999-04-01,163.61873
1999-05-01,163.72435
1999-06-01,163.77608
1999-07-01,164.21150
1999-08-01,164.50897
1999-09-01,165.09959
1999-10-01,165.37981
1999-11-01,165.52854
1999-12-01,165.91223
2000-01-01,166.36489
2000-02-01,166.88653
2000-03-01,167.60433
2000-04-01,167.46422
2000-05-01,167.60433
2000-06-01,168.17339
2000-07-01,168.59372
2000-08-01,168.58295
2000-09-01,169.30721
2000-10-01,169.53785
2000-11-01,169.77496
2000-12-01,170.03578
2001-01-01,170.85920
2001-02-01,171.12433
2001-03-01,171.13942
2001-04-01,171.43904
2001-05-01,171.88955
2001-06-01,172.19564
2001-07-01,172.13744
2001-08-01,172.11588
2001-09-01,171.53173
2001-10-01,172.13528
2001-11-01,172.01888
2001-12-01,171.84213
2002-01-01,171.99733
2002-02-01,172.28401
2002-03-01,172.75392
2002-04-01,173.47603
2002-05-01,173.58812
2002-06-01,173.80583
2002-07-01,174.18952
2002-08-01,174.53225
2002-09-01,174.84696
2002-10-01,175.16382
2002-11-01,175.33842
2002-12-01,175.50655
2003-01-01,176.03035
2003-02-01,176.77401
2003-03-01,177.22668
2003-04-01,176.92706
2003-05-01,176.72444
2003-06-01,176.91412
2003-07-01,177.43361
2003-08-01,178.03285
2003-09-01,178.59114
2003-10-01,178.61269
2003-11-01,178.83902
2003-12-01,179.23349
2004-01-01,179.92542
2004-02-01,180.30911
2004-03-01,180.58717
2004-04-01,180.92344
2004-05-01,181.50974
2004-06-01,182.02923
2004-07-01,182.19736
2004-08-01,182.29221
2004-09-01,182.65003
2004-10-01,183.43464
2004-11-01,184.14166
2004-12-01,184.24082
2005-01-01,184.48224
2005-02-01,184.99526
2005-03-01,185.54923
2005-04-01,186.06872
2005-05-01,186.17434
2005-06-01,186.28858
2005-07-01,187.07967
2005-08-01,187.83411
2005-09-01,189.64692
2005-10-01,189.94870
2005-11-01,189.55423
2005-12-01,189.55423
2006-01-01,190.47250
2006-02-01,190.58674
2006-03-01,190.95534
2006-04-01,191.84127
2006-05-01,192.35860
2006-06-01,192.83282
2006-07-01,193.49241
2006-08-01,194.10028
2006-09-01,193.59372
2006-10-01,193.13459
2006-11-01,193.20141
2006-12-01,193.88903
2007-01-01,194.53570
2007-02-01,195.13925
2007-03-01,195.85489
2007-04-01,196.31402
2007-05-01,196.88524
2007-06-01,197.30126
2007-07-01,197.60304
2007-08-01,197.73668
2007-09-01,198.49974
2007-10-01,199.10114
2007-11-01,200.15520
2007-12-01,200.62080
2008-01-01,201.12735
2008-02-01,201.52613
2008-03-01,202.10381
2008-04-01,202.47888
2008-05-01,203.34756
2008-06-01,204.82195
2008-07-01,205.77470
2008-08-01,205.60873
2008-09-01,205.77901
2008-10-01,204.42102
2008-11-01,202.00897
2008-12-01,200.87946
2009-01-01,200.90317
2009-02-01,201.26099
2009-03-01,201.04113
2009-04-01,201.32997
2009-05-01,201.53906
2009-06-01,202.73539
2009-07-01,202.75694
2009-08-01,203.34540
2009-09-01,203.67520
2009-10-01,204.44689
2009-11-01,204.95775
2009-12-01,205.07846
2010-01-01,205.52681
2010-02-01,205.52035
2010-03-01,205.81135
2010-04-01,205.92344
2010-05-01,205.98810
2010-06-01,205.90188
2010-07-01,206.07863
2010-08-01,206.36101
2010-09-01,206.56579
2010-10-01,207.22323
